customer_id,name,email,signup_date
C001,Customer 1,customer1@example.com,2026-05-04
C002,Customer 2,customer2@example.com,2025-08-21
C003,Customer 3,customer3@example.com,2025-09-09
C004,Customer 4,,2026-03-11
C005,Customer 5,customer5@example.com,2025-08-26
C006,Customer 6,customer6@example.com,2026-03-11
C007,Customer 7,customer7@example.com,2025-07-18
C008,Customer 8,customer8@example.com,2025-10-09
C009,Customer 9,customer9@example.com,2025-09-07
C010,Customer 10,customer10@example.com,2025-09-09
C011,Customer 11,customer11@example.com,2026-05-28
C012,Customer 12,customer12@example.com,2026-04-21
C013,Customer 13,customer13@example.com,2025-07-08
C014,Customer 14,customer14@example.com,2026-03-08
C015,Customer 15,customer15@example.com,2026-06-04
C016,Customer 16,customer16@example.com,2025-11-21
C017,Customer 17,customer17@example.com,2026-05-30
C018,Customer 18,customer18@example.com,2026-02-18
C019,Customer 19,,2025-11-04
C020,Customer 20,customer20@example.com,2026-05-20
C021,Customer 21,customer21@example.com,2025-08-13
C022,Customer 22,customer22@example.com,2025-12-03
C023,Customer 23,customer23@example.com,2026-04-01
C024,Customer 24,,2026-02-22
C025,Customer 25,customer25@example.com,2025-10-29
C026,Customer 26,customer26@example.com,2025-11-20
C027,Customer 27,customer27@example.com,2025-07-27
C028,Customer 28,customer28@example.com,2026-01-01
C029,Customer 29,customer29@example.com,2026-03-04
C030,Customer 30,customer30@example.com,2026-03-11
C031,Customer 31,customer31@example.com,2025-12-31
C032,Customer 32,,2025-07-17
C033,Customer 33,customer33@example.com,2026-05-21
C034,Customer 34,,2026-02-18
C035,Customer 35,customer35@example.com,2025-11-14
C036,Customer 36,customer36@example.com,2025-11-29
C037,Customer 37,customer37@example.com,2025-08-02
C038,Customer 38,customer38@example.com,2026-02-19
C039,Customer 39,,2026-05-16
C040,Customer 40,customer40@example.com,2025-07-24
C041,Customer 41,,2025-12-30
C042,Customer 42,customer42@example.com,2026-02-04
C043,Customer 43,customer43@example.com,2025-12-11
C044,Customer 44,customer44@example.com,2026-04-29
C045,Customer 45,customer45@example.com,2025-12-25
C046,Customer 46,customer46@example.com,2026-01-09
C047,Customer 47,customer47@example.com,2026-05-09
C048,Customer 48,customer48@example.com,2025-10-30
C049,Customer 49,customer49@example.com,2025-09-03
C050,Customer 50,customer50@example.com,2025-09-17
C051,Customer 51,customer51@example.com,2025-11-01
C052,Customer 52,customer52@example.com,2026-04-12
C053,Customer 53,customer53@example.com,2026-05-01
C054,Customer 54,,2025-12-24
C055,Customer 55,customer55@example.com,2026-01-14
C056,Customer 56,customer56@example.com,2025-10-09
C057,Customer 57,,2026-02-18
C058,Customer 58,customer58@example.com,2025-12-28
C059,Customer 59,customer59@example.com,2026-06-04
C060,Customer 60,customer60@example.com,2025-07-07
C061,Customer 61,,2026-05-11
C062,Customer 62,customer62@example.com,2025-11-29
C063,Customer 63,customer63@example.com,2026-05-27
C064,Customer 64,customer64@example.com,2026-03-29
C065,Customer 65,customer65@example.com,2026-03-07
C066,Customer 66,customer66@example.com,2025-09-05
C067,Customer 67,customer67@example.com,2026-03-11
C068,Customer 68,,2025-08-12
C069,Customer 69,customer69@example.com,2026-04-09
C070,Customer 70,customer70@example.com,2026-02-07
C071,Customer 71,customer71@example.com,2026-04-26
C072,Customer 72,customer72@example.com,2025-08-21
C073,Customer 73,,2026-04-26
C074,Customer 74,customer74@example.com,2026-05-16
C075,Customer 75,customer75@example.com,2026-06-13
C076,Customer 76,customer76@example.com,2026-05-29
C077,Customer 77,customer77@example.com,2025-12-29
C078,Customer 78,customer78@example.com,2026-06-02
C079,Customer 79,customer79@example.com,2025-10-30
C080,Customer 80,customer80@example.com,2026-04-18
C081,Customer 81,customer81@example.com,2025-08-09
C082,Customer 82,customer82@example.com,2025-10-24
C083,Customer 83,customer83@example.com,2025-07-31
C084,Customer 84,customer84@example.com,2025-10-31
C085,Customer 85,customer85@example.com,2026-06-20
C086,Customer 86,customer86@example.com,2025-12-03
C087,Customer 87,,2025-09-15
C088,Customer 88,customer88@example.com,2026-03-07
C089,Customer 89,customer89@example.com,2026-05-14
C090,Customer 90,customer90@example.com,2026-02-14
C091,Customer 91,customer91@example.com,2025-10-23
C092,Customer 92,,2025-10-14
C093,Customer 93,customer93@example.com,2026-01-18
C094,Customer 94,customer94@example.com,2026-03-20
C095,Customer 95,customer95@example.com,2025-08-08
C096,Customer 96,customer96@example.com,2026-03-01
C097,Customer 97,customer97@example.com,2026-01-10
C098,Customer 98,customer98@example.com,2025-10-08
C099,Customer 99,customer99@example.com,2025-12-25
C100,Customer 100,customer100@example.com,2026-03-02
